time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha_DEG,beta_DEG,pitch_demand,roll_demand,yaw_demand,pitch_demand_attained,roll_demand_attained,yaw_demand_attained,thrust_setting_demand,thrust_attained
6.017,13.473,429.26991,0.0,29.92068,-2.75646,0.0,0.0,0.0,0.00149,1.0,0.0,0.0,-0.01452,59.97401,3785.78432,0.0,5.33515,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.034,13.97169,429.2235,0.0,29.92268,-2.81275,0.0,0.0,0.0,0.00137,1.0,0.0,0.0,-0.01756,71.92972,3857.63551,0.0,5.43449,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.05,14.47042,429.17616,0.0,29.925,-2.86717,0.0,0.0,0.0,0.00122,1.0,0.0,0.0,-0.02068,83.5496,3924.86052,0.0,5.52712,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.067,14.9692,429.12794,0.0,29.92764,-2.91985,0.0,0.0,0.0,0.00105,1.0,0.0,0.0,-0.02389,94.82461,3987.56257,0.0,5.61321,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.084,15.46801,429.07885,0.0,29.93057,-2.97091,0.0,0.0,0.0,0.00085,1.0,0.0,0.0,-0.02717,105.74839,4045.84587,0.0,5.6929,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,15.96688,429.02892,0.0,29.9338,-3.02047,0.0,0.0,0.0,0.00063,1.0,0.0,0.0,-0.03053,116.31696,4099.81548,0.0,5.76635,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.117,16.46581,428.97818,0.0,29.93732,-3.06865,0.0,0.0,0.0,0.00037,1.0,0.0,0.0,-0.03395,126.52853,4149.57714,0.0,5.83371,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.134,16.9648,428.92664,0.0,29.94111,-3.11556,0.0,0.0,0.0,9.0e-5,1.0,0.0,0.0,-0.03743,136.38324,4195.23723,0.0,5.89515,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.151,17.46385,428.87434,0.0,29.94516,-3.16131,0.0,0.0,0.0,-0.00022,1.0,0.0,0.0,-0.04096,145.88295,4236.90254,0.0,5.95081,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.167,17.96297,428.82128,0.0,29.94947,-3.20601,0.0,0.0,0.0,-0.00056,1.0,0.0,0.0,-0.04453,155.03103,4274.68025,0.0,6.00086,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.184,18.46217,428.76748,0.0,29.95402,-3.24977,0.0,0.0,0.0,-0.00094,1.0,0.0,0.0,-0.04814,163.83217,4308.67775,0.0,6.04545,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,18.96144,428.71296,0.0,29.9588,-3.29269,0.0,0.0,0.0,-0.00134,1.0,0.0,0.0,-0.05178,172.29221,4339.00255,0.0,6.08475,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.217,19.46079,428.65773,0.0,29.96381,-3.33486,0.0,0.0,0.0,-0.00177,1.0,0.0,0.0,-0.05545,180.41799,4365.76215,0.0,6.11891,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.234,19.96024,428.6018,0.0,29.96904,-3.37638,0.0,0.0,0.0,-0.00223,1.0,0.0,0.0,-0.05913,188.21713,4389.06395,0.0,6.14809,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,20.45976,428.54519,0.0,29.97448,-3.41736,0.0,0.0,0.0,-0.00272,1.0,0.0,0.0,-0.06284,195.69798,4409.01513,0.0,6.17245,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.267,20.95939,428.48789,0.0,29.98011,-3.45786,0.0,0.0,0.0,-0.00325,1.0,0.0,0.0,-0.06655,202.86942,4425.72256,0.0,6.19215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.284,21.4591,428.42993,0.0,29.98594,-3.49799,0.0,0.0,0.0,-0.0038,0.99999,0.0,0.0,-0.07027,209.74075,4439.29266,0.0,6.20734,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,21.95892,428.37129,0.0,29.99195,-3.53783,0.0,0.0,0.0,-0.00439,0.99999,0.0,0.0,-0.07398,216.32161,4449.83137,0.0,6.21819,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
