time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta,pitch_demand,roll_demand,yaw_demand,pitch_demand_attained,roll_demand_attained,yaw_demand_attained
6.005,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.254,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.254,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.254,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.254,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.254,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.255,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.256,23.17653,129.79097,0.00023,28.48321,0.56225,0.00133,-0.00029,0.00025,0.02533,0.99968,-0.00116,0.00045,0.11741,10.82293,39.31795,0.01397,1.77031,-0.03119,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.256,23.65173,129.80081,0.00025,28.54105,0.61849,0.00141,-0.0003,0.00026,0.02631,0.99965,-0.00117,0.00042,0.11935,10.41206,39.54314,0.0142,1.77292,-0.0318,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.272,24.12788,129.8116,0.00027,28.59667,0.67592,0.00149,-0.00031,0.00026,0.02731,0.99963,-0.00118,0.0004,0.1212,10.01023,39.75753,0.0144,1.7753,-0.03239,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.288,24.60494,129.82335,0.0003,28.6501,0.73448,0.00157,-0.00032,0.00026,0.02833,0.9996,-0.00119,0.00037,0.12297,9.6173,39.96166,0.01456,1.77746,-0.03295,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.305,25.08287,129.83608,0.00033,28.70139,0.79413,0.00165,-0.00033,0.00027,0.02936,0.99957,-0.00121,0.00034,0.12466,9.23314,40.15604,0.01469,1.77943,-0.0335,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
6.322,25.56164,129.84982,0.00035,28.7506,0.8548,0.00173,-0.00034,0.00027,0.03041,0.99954,-0.00122,0.00032,0.12628,8.85758,40.34122,0.01479,1.78123,-0.03403,0.0001,-0.0001,0.00039,0.0001,-0.0001,0.00039
